route ID	model type	p	q	R2	mu_R2	sigma_R2
0	linear	0.0	0.0	0.723	0.6852	0.1618
0	exponential	0.0	0.0	0.718	0.6823	0.1587
1	linear	0.0	0.0	0.5803	0.5046	0.148
1	exponential	0.0	0.0	0.5756	0.4967	0.149
2	linear	0.0	0.0	0.5259	0.5593	0.1577
2	exponential	0.0	0.0	0.58	0.5868	0.1271
3	linear	0.0	0.0	0.9236	0.9185	0.0333
3	exponential	0.0	0.0	0.9255	0.9189	0.0281
4	linear	0.0	0.0	0.6743	0.6781	0.076
4	exponential	0.0	0.0	0.748	0.7471	0.0601
5	linear	0.0	0.0	0.5123	0.4134	0.2306
5	exponential	0.0	0.0	0.5673	0.5138	0.164
